ID	GROUP	SUB_GROUP	LOCALIZATION_KEY	RU	ENG	FRA	DEU	SPA	POL	POR	CHI	ITA	KOR
17	CP	SR_STORY	FIRSTDAY_START_0007	Только не зли Дамонику, в начале учебного года у нее много работы, и она всегда нервничает.	Just don't piss off Damonica, she has a lot of work at the beginning of the school year, and she's always nervous.								
18	CP	KN_STORY	FIRSTDAY_0001	А вот и мои документы, теперь их нужно отнести в деканат.	And here are my documents, now they need to be taken to the dean's office.								
19	CP	STORY	FIRSTDAY_END_0001	Если вы ляжете спать этот день закончится, решеные и нерешенные задачи повлияют на последующие акты. Вы уверены, что хотите завершить день?	If you go to bed, this day will end, solved and unsolved tasks will affect subsequent acts. Are you sure you want to end the day?								
20	CP	CH_STORY	FIRSTDAY_END_NO_0001	Завершить день.	End the day.								
21	CP	CH_STORY	FIRSTDAY_END_YES_0001	Продолжить игру.	Keep playing.								
22	CP	STORY	FIRSTDAY_COLLEGE_0001	Пропуск.	Show your student ID.								
23	CP	KN_STORY	FIRSTDAY_COLLEGE_0001	Здравствуйте. У меня его пока нет, я как раз за ним иду.	Hello. I don't have it yet. I'm just going to get it.								
24	CP	STORY	FIRSTDAY_COLLEGE_0002	Тогда документы, мне нужно записать тебя.	Then the documents, I need to sign you up.								
25	CP	KN_STORY	FIRSTDAY_COLLEGE_0002	Вот, держите.	Here, here are the documents.								
26	CP	KN_STORY	FIRSTDAY_COLLEGE_0003	Ой, кажется, в комнате оставил, скоро вернусь.	Oh, I think I left it in the room, I'll be back soon.								
27	CP	STORY	FIRSTDAY_COLLEGE_0004	Пропуск или документы.	A student ID or documents.								
28	CP	KN_STORY	FIRSTDAY_COLLEGE_0004	Я сейчас их принесу. Извините.	I'll get them now. Sorry.								
29	CP	KN_STORY	FIRSTDAY_COLLEGE_0005	Ого, не слышал, что здесь пропадают студенты...	Wow, I didn't hear that students were missing here...								
30	CP	KN_STORY	FIRSTDAY_DEANSOFFICE_0001	Здравствуйте, мэм, я пришел занести документы, и забрать пропуск.	Hello, ma'am, I came to drop off the documents and pick up the pass.								
31	CP	STORY	FIRSTDAY_DEANSOFFICE_0001	Да, конечно, давай документы и вот твой пропуск.	Yes, of course, give me the documents and here's your pass.								
32	CP	KN_STORY	FIRSTDAY_DEANSOFFICE_0002	Спасибо, мэм!	Thank you, ma'am!								
33	CP	KN_STORY	FIRSTDAY_0002	Что-то я устал сегодня, пора бы пойти к себе в комнату.	I'm tired today, it's time to go to my room.								
34	CP	KN_STORY	HELPKAYA_BAIT_0001	Какая красивая…	How beautiful she is…								
35	CP	STORY	HELPKAYA_START_0001	Но это же безумие, такого просто не может быть! Как, из-за какой-то книги, глаза могут начать светиться, а человек превращается в зомби?! Может ты просто переутомилась?	But this is crazy, it just can't be! How, because of some book, can the eyes start to glow, and a person turns into a zombie?! Maybe you're just overworked?								
36	CP	STORY	HELPKAYA_START_0002	Точно тебе говорю! Я подглядела в замочную скважину, там ползает огромная фиолетовая лоза или змея, не смогла точно рассмотреть, но в библиотеке точно творится что-то сверхъестественное!	I'm telling you for sure! I peeked through the keyhole, there's a huge purple vine or snake crawling there, I couldn't see exactly, but there's definitely something supernatural going on in the library!								
37	CP	STORY	HELPKAYA_START_0003	Кайя, у тебя дурацкие шутки! Я пойду готовится к первому дню занятий. Счастливо оставаться с фиолетовыми змеями, книгами магии и зомби!	Kaya, you're making stupid jokes! I'm going to get ready for the first day of class. Have fun with purple snakes, books of magic and zombies!								
38	CP	STORY	HELPKAYA_START_0004	Ты все слышал?	Did you hear everything?								
39	CP	KN_STORY	HELPKAYA_START_0004	Если честно - нет, просто стоял тут и смотрел на тебя. Я - Кервин.	To be honest, no, I was just standing here and looking at you. I'm Kerwin.								
40	CP	STORY	HELPKAYA_START_0005	Кайя, очень приятно.	Kaya, it's very nice to meet you.								
41	CP	KN_STORY	HELPKAYA_START_0005	Наверное выгляжу ужасно глупо, извини. Тебе нужна помощь с чем-то?	I must look terribly stupid, I'm sorry. Do you need help with something?								
42	CP	STORY	HELPKAYA_START_0006	Ты отлично выглядишь… Да мне нужна помощь! Ходят слухи, в библиотеке есть особенная книга, и она мне очень нужна. Ты сможешь мне помочь?	You look great.… Yes, I need help! There are rumors that there is a special book in the library, and I really need it. Can you help me?								
43	CP	KN_STORY	HELPKAYA_START_0006	Конечно, расскажи подробнее.	Of course, tell me more.								
44	CP	STORY	HELPKAYA_START_0007	Это толстый томик, от него может исходить фиолетовое свечение. В библиотеке происходят страшные вещи, я видела их своими глазами, и чтобы всё прекратилось, нужно вытащить  эту книгу. Ты же поможешь мне?	This is a thick volume, it can emit a purple glow. Terrible things are happening in the library, I saw them with my own eyes, and in order for everything to stop, I need to pull out this book. You're going to help me, aren't you?								
45	CP	KN_STORY	HELPKAYA_START_0007	С радостью, ты можешь на меня положиться.	With pleasure, you can rely on me.								
46	CP	STORY	HELPKAYA_VENTILATIONBAIT_0001	Сегодня на улице ужасная жара, а внутри главного корпуса, настолько свежо, что я даже немного замерз.	It's terribly hot outside today, and inside the main building, it's so fresh that I'm even a little cold.								
47	CP	STORY	HELPKAYA_VENTILATIONBAIT_0002	Это новая система вентиляции, я слышал ее модернизировали, перед учебным годом.	This is a new ventilation system, I heard it was upgraded before the school year.								
48	CP	KN_STORY	HELPKAYA_VENTILATIONBAIT_0003	Хм, вентиляция… Это может пригодится.	Hmm, ventilation… May be I can use this information.								
49	CP	KN_STORY	HELPKAYA_VENTILATION_0001	Не могу ее открыть, нужна отвертка. Сегодня с утра Шон прикручивал полку, спрошу у него!	I can't open it, I need a screwdriver. Sean was screwing up the shelf this morning, I'll ask him!								
50	CP	KN_STORY	HELPKAYA_VENTILATION_0002	Шон, можешь одолжить мне отвертку? Мне нужно помочь одной красивой даме со второго общежития.	Sean, can you lend me a screwdriver? I need to help a beautiful lady from the second dorm.								
51	CP	STORY	HELPKAYA_VENTILATION_0002	Кен! Первый день на новом месте, а ты уже делаешь успехи! Конечно, держи! Расскажи потом как прошло!	Ken! It's your first day in a new place, and you're already making progress! Of course, here you go! Tell me how it went later!								
52	CP	KN_STORY	HELPKAYA_VENTILATION_0003	Готово!	Done!								
53	CP	STORY	HELPKAYA_VENTILATION_0004	Да, я ушла в безопасное место. Что они сделали!? Узнайте родителей этих ублюдков, узнайте все их семьи, переверните там всё вверх дном, но накажите, накажите этих мразей. 	Yes, I went to a safe place. What have they done!? Find out the parents of these bastards, find out all their families, turn everything upside down there, but punish, punish these scum.								
54	CP	STORY	HELPKAYA_VENTILATION_0003	Это животные, которые недостойны жить! Они недостойны дышать, они не достойны находиться на нашей земле!	These animals that are unworthy of living! They are not worthy to breathe, they are not worthy to be on our earth!								
55	CP	STORY	HELPKAYA_LIBRARY_0001	Уходи отсюда, библиотека только для тех кто проникся великой книгой.	Get out, the library is only for those who are imbued with the great book.								
56	CP	KN_STORY	HELPKAYA_LIBRARY_0002	Такое ощущение что меня заманивают в ловушку.	It feels like I'm being lured into a trap.								
57	CP	KN_STORY	HELPKAYA_LIBRARY_0003	Назад пути нет...	There is no turning back...								
58	CP	KN_STORY	HELPKAYA_LIBRARY_0004	Должно быть это та самая книга! Пора сваливать!	This must be the book! It's time to get out!								
59	CP	STORY	HELPKAYA_LIBRARY_0005	ПОЛОЖИ МОЮ КНИГУ НА МЕСТО!	PUT MY BOOK BACK!								
60	CP	KN_STORY	HELPKAYA_LIBRARY_0005	Спокойнее, здоровяк, мне не нужны неприятности!	Take it easy, big guy, I don't want any trouble!								
61	CP	STORY	HELPKAYA_LIBRARY_0006	ЭТО МОЯ КНИГА! ВЕРНИ ЕЕ!	THIS IS MY BOOK! BRING IT BACK!								
62	CP	STORY	HELPKAYA_LIBRARY_0007	ВЕРНИ ЕЕ НА МЕСТО! ТЫ НЕ ПОНИМАЕШЬ ЧТО ДЕЛАЕШЬ!	PUT IT BACK IN ITS PLACE! YOU DON'T UNDERSTAND WHAT YOU'RE DOING!								
63	CP	KN_STORY	HELPKAYA_LIBRARY_0008	Что. Это. БЫЛО?! Надо скорее отсюда убираться	What... was that?! I need to get out of here as soon as possible								
64	CP	KN_STORY	HELPKAYA_FINAL_0001	Я только что из библиотеки, там творится что-то невообразимое! Студенты зомби! Но я смог разобраться, смотри что у меня есть для тебя!	I've just come from the library, something unimaginable is happening there! Zombie students! But I was able to figure it out, look what I have for you!								
65	CP	STORY	HELPKAYA_FINAL_0001	Постой-постой, не так быстро. С тобой все в порядке?	Wait, wait, not so fast. Are you all right?								
66	CP	KN_STORY	HELPKAYA_FINAL_0002	Да, все отлично, пара ссадин ничего мне не сделают. Вот возьми книгу. Кстати, зачем тебе она?	Yes, everything is fine, a couple of abrasions won't do anything to me. Here, take the book. By the way, why do you need it?								
67	CP	STORY	HELPKAYA_FINAL_0002	Не уверена что могу рассказать сейчас… Давай поднимемся ко мне, комната на втором этаже. С тобой точно все в порядке?	I'm not sure what I can tell you now... let's go up to my room, it's on the second floor. Are you sure you're okay?								
68	CP	KN_STORY	HELPKAYA_FINAL_0003	Да, со мной все отлично. Да, я с радостью.	Yes, I'm fine. Yes, I would love to.								
69	CP	STORY	HELPKAYA_FINAL_0003	Хорошо. Только подожди пару минут, мне нужно немного прибраться, и поднимайся, ладно?	Okay, I need to clean up a little bit. Wait a few minutes and come up to me, okay?								
70	CP	KN_STORY	HELPKAYA_FINAL_0004	Какой номер комнаты?	What is the room number?								
71	CP	STORY	HELPKAYA_FINAL_0004	Не скажу, найди меня!	I won't tell you, find me!								
72	CP	STORY	FIRSTDAY_PARКINGCUTSCENE_0001	В прошлый раз это стоило мне слишком многого, Дойл.	It cost me too much last time, Doyle.								
73	CP	STORY	FIRSTDAY_PARКINGCUTSCENE_0002	Галлен, мы же цивилизованные люди. Я думаю, что твое беспокойство должно быть вознаграждено. Щедро вознаграждено.	Gallen, we're civilized people. I think your concern should be rewarded. Generously rewarded.								
74	CP	STORY	FIRSTDAY_PARКINGCUTSCENE_0003	Сто тысяч, наличными в мелкой купюре. Сегодня. Или я не буду покрывать твои выходки.	One hundred thousand, in cash in a small bill. Today. Or I won't cover for your antics.								
75	CP	STORY	FIRSTDAY_PARКINGCUTSCENE_0004	Никаких проблем.	No problem.								
76													
77													
78													
79													
80													
81													
82													
83													
84													
85													
86													
87													
88													
89													
90													
91													
92													
93													
94													
95													
96													
97													
98													
99													
100													
101													
102													
103													
104													
105													
106													
107													
108													
109													
110													
111													
112													
113													
114													
115													
116													
117													
118													
119													
120													
121													
122													
123													
124													
125													
126													
127													
128													
129													
130													
131													
132													
133													
134													
135													
136													
137													
138													
139													
140													
141													
142													
143													
144													
145													
146													
147													
148													
149													
150													
151													
152													
153													
154													
155													
156													
157													
158													
159													
160													
161													
162													
163													
164													
165													
166													
167													
168													
169													
170													
171													
172													
173													
174													
175													
176													
177													
178													
179													
180													
181													
182													
183													
184													
185													
186													
187													
188													
189													
190													
191													
192													
193													
194													
195													
196													
197													
198													
199													
200													
201													
202													
203													
204													
205													
206													
207													
208													
209													
210													
211													
212													
213													
214													
215													
216													
217													
218													
219													
220													
221													
222													
223													
224													
225													
226													
227													
228													
229													
230													
231													
232													
233													
234													
235													
236													
237													
238													
239													
240													
241													
242													
243													
244													
245													
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257													
258													
259													
260													
261													
262													
263													
264													
265													
266													
267													
268													
269													
270													
271													
272													
273													
274													
275													
276													
277													
278													
279													
280													
281													
282													
283													
284													
285													
286													
287													
288													
289													
290													
291													
292													
293													
294													
295													
296													
297													
298													
299													
300													
301													
302													
303													
304													
305													
306													
307													
308													
309													
310													
311													
312													
313													
314													
315													
316													
317													
318													
319													
320													
321													
322													
323													
324													
325													
326													
327													
328													
329													
330													
331													
332													
333													
334													
335													
336													
337													
338													
339													
340													
341													
342													
343													
344													
345													
346													
347													
348													
349													
350													
351													
352													
353													
354													
355													
356													
357													
358													
359													
360													
361													
362													
363													
364													
365													
366													
367													
368													
369													
370													
371													
372													
373													
374													
375													
376													
377													
378													
379													
380													
381													
382													
383													
384													
385													
386													
387													
388													
389													
390													
391													
392													
393													
394													
395													
396													
397													
398													
399													
400													
401													
402													
403													
404													
405													
406													
407													
408													
409													
410													
411													
412													
413													
414													
415													
416													
417													
418													
419													
420													
421													
422													
423													
424													
425													
426													
427													
428													
429													
430													
431													
432													
433													
434													
435													
436													
437													
438													
439													
440													
441													
442													
443													
444													
445													
446													
447													
448													
449													
450													
451													
452													
453													
454													
455													
456													
457													
458													
459													
460													
461													
462													
463													
464													
465													
466													
467													
468													
469													
470													
471													
472													
473													
474													
475													
476													
477													
478													
479													
480													
481													
482													
483													
484													
485													
486													
487													
488													
489													
490													
491													
492													
493													
494													
495													
496													
497													
498													
499													
500													
501													
502													
503													
504													
505													
506													
507													
508													
509													
510													
511													
512													
513													
514													
515													
516													
517													
518													
519													
520													
521													
522													
523													
524													
525													
526													
527													
528													
529													
530													
531													
532													
533													
534													
535													
536													
537													
538													
539													
540													
541													
542													
543													
544													
545													
546													
547													
548													
549													
550													
551													
552													
553													
554													
555													
556													
557													
558													
559													
560													
561													
562													
563													
564													
565													
566													
567													
568													
569													
570													
571													
572													
573													
574													
575													
576													
577													
578													
579													
580													
581													
582													
583													
584													
585													
586													
587													
588													
589													
590													
591													
592													
593													
594													
595													
596													
597													
598													
599													
600													
601													
602													
603													
604													
605													
606													
607													
608													
609													
610													
611													
612													
613													
614													
615													
616													
617													
618													
619													
620													
621													
622													
623													
624													
625													
626													
627													
628													
629													
630													
631													
632													
633													
634													
635													
636													
637													
638													
639													
640													
641													
642													
643													
644													
645													
646													
647													
648													
649													
650													
651													
652													
653													
654													
655													
656													
657													
658													
659													
660													
661													
662													
663													
664													
665													
666													
667													
668													
669													
670													
671													
672													
673													
674													
675													
676													
677													
678													
679													
680													
681													
682													
683													
684													
685													
686													
687													
688													
689													
690													
691													
692													
693													
694													
695													
696													
697													
698													
699													
700													
701													
702													
703													
704													
705													
706													
707													
708													
709													
710													
711													
712													
713													
714													
715													
716													
717													
718													
719													
720													
721													
722													
723													
724													
725													
726													
727													
728													
729													
730													
731													
732													
733													
734													
735													
736													
737													
738													
739													
740													
741													
742													
743													
744													
745													
746													
747													
748													
749													
750													
751													
752													
753													
754													
755													
756													
757													
758													
759													
760													
761													
762													
763													
764													
765													
766													
767													
768													
769													
770													
771													
772													
773													
774													
775													
776													
777													
778													
779													
780													
781													
782													
783													
784													
785													
786													
787													
788													
789													
790													
791													
792													
793													
794													
795													
796													
797													
798													
799													
800													
801													
802													
803													
804													
805													
806													
807													
808													
809													
810													
811													
812													
813													
814													
815													
816													
817													
818													
819													
820													
821													
822													
823													
824													
825													
826													
827													
828													
829													
830													
831													
832													
833													
834													
835													
836													
837													
838													
839													
840													
841													
842													
843													
844													
845													
846													
847													
848													
849													
850													
851													
852													
853													
854													
855													
856													
857													
858													
859													
860													
861													
862													
863													
864													
865													
866													
867													
868													
869													
870													
871													
872													
873													
874													
875													
876													
877													
878													
879													
880													
881													
882													
883													
884													
885													
886													
887													
888													
889													
890													
891													
892													
893													
894													
895													
896													
897													
898													
899													
900													
901													
902													
903													
904													
905													
906													
907													
908													
909													
910													
911													
912													
913													
914													
915													
916													
917													
918													
919													
920													
921													
922													
923													
924													
925													
926													
927													
928													
929													
930													
931													
932													
933													
934													
935													
936													
937													
938													
939													
940													
941													
942													
943													
944													
945													
946													
947													
948													
949													
950													
951													
952													
953													
954													
955													
956													
957													
958													
959													
960													
961													
962													
963													
964													
965													
966													
967													
968													
969													
970													
971													
972													
973													
974													
975													
976													
977													
978													
979													
980													
981													
982													
983													
984													
985													
986													
987													
988													
989													
990													
991													
992													
993													
994													
995													
996													
997													
998													
999													
